,county,TOTAL DOLLAR AMOUNT OF CLAIMS
350,White,853164.65
351,Kosciusko,4300395.93
352,Pulaski,1203770.22
353,Fulton,1203770.22
354,Franklin,1047994.21
355,Gibson,998345.07
356,White,424032.05
357,Carroll,2444585.09
358,Clinton,2444585.09
359,Tipton,2444585.09
360,Howard,2444585.09
361,Greene,2261025.95
362,Lake,11161150.93
363,Madison,54466134.16
364,Carroll,509557.97
365,White,509557.97
366,Putnam,2411827.41
367,Delaware,190765.49
368,Putnam,894400.61
369,Lake,9525889.21
370,Clinton,231274.99
371,Randolph,4590067.25
372,Delaware,4590067.25
373,Monroe,17753017.25
374,Owen,17753017.25
375,Rush,198604.92
376,Fayette,198604.92
377,Lake,13107461.03
378,Carroll,1910906.9
379,White,1910906.9
380,Porter,35667039.25
381,Lake,35667039.25
382,Harrison,4509121.45
383,Floyd,4509121.45
384,Ripley,3226413.99
385,Dearborn,3226413.99
386,Kosciusko,7632976.62
387,St. Joseph,7632976.62
388,Marshall,7632976.62
389,Wabash,1676349.33
390,Miami,1676349.33
391,Grant,1676349.33
392,Howard,1676349.33
393,Allen,30059101.71
394,Fountain,511814.11
395,Vermillion,454884.74
396,Benton,1383171.08
397,Warren,1383171.08
398,Tippecanoe,1383171.08
399,White,1383171.08
400,Howard,4082291.79
401,Madison,6052930.86
402,Hancock,6052930.86
403,Hamilton,6052930.86
404,Hamilton,2434119.61
405,Wabash,1033542.67
406,Allen,8652619.26
407,Steuben,877834.92
408,Wayne,1142383.1
409,Blackford,2503146.77
410,Wells,2503146.77
411,Jay,2503146.77
412,Newton,631913.53
413,Jasper,631913.53
414,Benton,1490387.59
415,Jasper,1490387.59
416,Porter,55199416.87
417,Wells,192712.62
418,Porter,4856781.04
419,LaPorte,4856781.04
420,Randolph,406805.45
421,Vigo,33628756.52
422,Blackford,5531957.99
423,Delaware,5531957.99
424,Jay,5531957.99
425,Allen,14695430.02
426,Newton,1635952.05
427,Allen,848380.0
428,DeKalb,848380.0
429,Marion,45600119.96
430,St. Joseph,28998209.34
431,Pike,21450738.76
432,Dubois,21450738.76
433,Jay,17264533.57
434,Lake,23336210.1
435,Rush,5067859.0
436,Shelby,5067859.0
437,Hancock,5067859.0
438,Elkhart,8314263.41
439,St. Joseph,8314263.41
440,Noble,23530374.61
441,Whitley,23530374.61
442,Daviess,191998.59
443,Elkhart,8207451.96
